,Team,skill,variance
0,Juventus,167.75817485202478,1.3532238637394511
1,Napoli,115.92798489708804,1.375221382847128
2,Inter,68.92956123721567,1.431909822021915
3,Milan,68.91291120151298,1.3946696520292696
4,Roma,56.0490530584387,1.48733615177708
5,Torino,47.79568788970613,1.6304829479504457
6,Sassuolo,43.57658329774062,1.6410354681416837
7,Lazio,40.31288976663305,1.3289048275293998
8,Fiorentina,38.31658983345907,1.7232383612122337
9,Sampdoria,35.23220271368477,1.3814130970214435
10,Atalanta,29.091431328983006,1.355740275457084
11,Genoa,16.143126227933095,1.5926457777610508
12,Spal,10.172700984215185,1.4055314439578726
13,Parma,2.237559775583968,1.544719722982885
14,Cagliari,-7.3347771321283295,1.332542849300436
15,Udinese,-11.212968017878037,1.5685216946762952
16,Empoli,-28.327087022217462,1.3206620222182475
17,Bologna,-38.8220615756729,1.439432879474152
18,Frosinone,-84.40898967417431,1.3785228516090442
19,Chievo,-107.57590445414881,1.5822535327087779
